ID;Name;IMDB_Rating;Premiere;Finale ;Runtime_of_Episodes;Overview
577;The L Word;7.6;2004;2009;50;Follows the lives and loves of a small, close-knit group of gay women living in Los Angeles as well as the friends and family members that either support or loathe them.
578;7th Heaven;5.2;1996;2007;60;Eric Camden, a minister, and his wife Annie deal with the drama of having seven children, ranging from toddlers to adults with families of their own.
579;Midsomer Murders;7.7;1997;null;90;A veteran Detective Chief Inspector and his young Sergeant investigate murders around the regional community of Midsomer County.
580;Animal Kingdom;8.2;2016;null;60;Centers on a Southern California family, whose excessive lifestyle is fueled by their criminal activities.
581;Being Human;7.8;2008;2013;60;A werewolf, a vampire and a ghost try to live together and get along.
582;8 Simple Rules... for Dating My Teenage Daughter;7;2002;2005;30;The Hennessy clan -- mother Cate, daughters Bridget and Kerry, and son Rory -- look to one another for guidance and support after the death of Paul, the family patriarch. Cate's parents lend a hand.
583;Caprica;7.1;2009;2010;60;Two families, the Graystones and the Adamas, live together on a peaceful planet known as Caprica, where a startling breakthrough in artificial intelligence brings about unforeseen consequences.
584;House of Lies;7.4;2012;2016;28;Charming, fast-talking Marty Kaan and his crack team of management consultants use every dirty trick in the book to woo powerful CEOs and close huge deals in this scathing, irreverent satire of corporate America today.
585;Kim Possible;7.2;2002;2007;30;A high school cheerleader and her accident-prone best friend balance their duties as global crime-fighters with the typical challenges of adolescence.
586;Dragon Ball GT: Doragon b̫ru j̨t̨;6.8;1996;2003;24;After Goku is made a kid again by the Black Star Dragon Balls, he goes on a journey to get back to his old self.
587;'Allo 'Allo!;8.4;1982;1992;45;In France during World War II, Rene Artois runs a small caf̩ where Resistance fighters, Gestapo men, German Army officers and escaped Allied POWs interact daily, ignorant of one another's true identity or presence, exasperating Rene.
588;Dragon Ball Super: Doragon b̫ru cho;8.4;2015;2018;24;Six months after the defeat of Majin Buu, The mighty Saiyan Son Goku continues his quest on becoming stronger.
589;The Venture Bros.;8.5;2003;2018;22;The bizarre escapades of pseudo-heroic scientist Dr. Rusty Venture, his competent, high-strung bodyguard, and his two overenthusiastic sons.
590;Moonlight;7.6;2007;2008;60;A vampire lands work as a private investigator and falls for a mortal woman.
591;You're the Worst;8.1;2014;2019;30;Centers on two toxic, self-destructive people who fall in love and attempt a relationship.
592;Greek;7.5;2007;2011;60;Freshman Rusty Cartwright arrives at college and decides he no longer wants to be the boring geek from high school. He decides to pledge a fraternity. He is offered 2 bids
593;Cursed;5.8;2020;null;53;A teenage sorceress named Nimue encounters a young Arthur on her quest to find a powerful and ancient sword.
594;Miami Vice;7.5;1984;1989;48;"Resplendent with authentic 1980's music, fashion and vibe, ""Miami Vice"" follows two -undercover detectives and their extended team through the mean streets of Miami, Florida (USA)."
595;Extant;6.6;2014;2015;42;An astronaut struggles to learn how she became pregnant while on a thirteen-month-long solo space mission.
596;Studio 60 on the Sunset Strip;8.2;2006;2007;44;A behind-the-scenes look at a fictional sketch-comedy television show.
597;Daria;8;1997;2001;30;A smart and cynical girl goes through teenage life as a proud outsider in a world of mainly idiotic adolescents and condescending adults.
598;Reaper;7.7;2007;2009;45;On his 21st birthday, Sam discovers his parents sold his soul to the devil before birth and he must now be a bounty hunter for the devil until he dies.
599;Nashville;7.7;2012;2018;43;Follows the lives and tragedies of rising and fading country music stars in Nashville, Tennessee.
600;Inside Look: The People v. O.J. Simpson - American Crime Story;8.4;2016;null;5;Inside the series of the same name.
601;Mike & Molly;6.4;2010;2016;30;A couple meets at an Overeaters' Anonymous meeting.
602;Nanatsu no taizai;8.1;2014;null;24;The legend of the confrontation between the Seven Deadly Sins and the Holy Knights.
603;Camelot;6.5;2011;null;45;When King Uther dies and Britain faces chaos, Merlin presents an unknown named Arthur as the new king by birthright, as the late king's son, against the ambitious desires of his half-sister, Morgan.
604;Mystery Science Theater 3000;8.5;1988;1999;92;In the not-too-distant future Joel Robinson is held captive by Dr. Forrester and TV's Frank, forced to watch B-Grade movies on the Satellite of Love with the help of his robot friends: Cambot, Gypsy, Tom Servo and Crow T. Robot.
605;Star Wars: Clone Wars;7.8;2003;2005;133;The events and battles of the Galactic Republic's last major war are recounted.
606;Switched at Birth;7.7;2011;2017;60;Two teenage girls' lives are turned upside down when they find out they were switched at birth.
607;Aqua Teen Hunger Force;7.6;2000;2015;15;The misadventures of a milkshake, an order of fries, a meatball, and their retired next door neighbor in the suburbs of New Jersey.
608;Law & Order: Criminal Intent;7.4;2001;2011;60;This series focuses on the NYPD's Major Case Squad, a force of detectives who investigate high-profile cases, whilst also showing parts of the crime from the criminal's point of view to the audience.
609;Jersey Shore;3.6;2009;2012;40;A reality-based look at the vapid lives of several New Jersey 20-somethings and their respective friends and/or hook-ups.
610;Mozart in the Jungle;8.2;2014;2018;29;Love, money, ambition and music intertwine in Mozart in the Jungle, a half hour comedic drama that looks at finding yourself and finding love while conquering New York City. A brash new maestro Rodrigo stirs up the New York Symphony as young oboist Hailey hopes for her big chance.
611;The Closer;7.6;2005;2012;46;Deputy Police Chief Brenda Johnson runs the Priority Homicide Division of the LAPD with an unorthodox style. Her innate ability to read people and obtain confessions helps her and her team solve the city's toughest, most sensitive cases.
612;Recess;7.8;1997;2001;23;Comic tales of a group of good friends, four boys and two girls, during breaks in primary school, as they grow up, relate to each other, and have brushes with authority.
613;Dominion;6.8;2014;2015;90;Follows the perilous journey of a rebellious young soldier who discovers he's the unlikely savior of humanity.
614;Insatiable;6.5;2018;2019;45;A disgraced, dissatisfied civil lawyer-turned-beauty pageant coach takes on a vengeful, bullied teenager as his client and has no idea what he's about to unleash upon the world.
615;Victoria;8.2;2016;null;60;The early life of Queen Victoria, from her ascension to the throne at the tender age of eighteen to her courtship and marriage to Prince Albert.
616;Private Practice;6.7;2007;2013;60;"A spin-off of the medical drama ""Grey's Anatomy"" centering on the life of neonatal surgeon Addison Montgomery."
617;Conan;8.1;2010;null;42;Conan O'Brien and his co-host Andy Richter discuss current news topics and interview celebrities and personalities.
618;The Muppet Show;8.4;1976;1981;30;Kermit the Frog and his fellow Muppets put on a vaudeville show at their theatre, bringing in a famous celebrity to help out for each episode.
619;Magnum, P.I.;7.5;1980;1988;48;The adventures of a Hawaii based private investigator.
620;Fresh Off the Boat;7.8;2015;2020;22;A Taiwanese family makes their way in America during the 1990s.
621;Dear White People;6.2;2017;2021;30;At a predominantly white Ivy League college, a group of black students navigate various forms of racial and other types of discrimination.
622;Wet Hot American Summer: First Day of Camp;7.4;2015;null;30;Follows the counselors and campers on their first day at Camp Firewood in the summer of 1981.
623;Aashram;7.4;2020;null;45;A duplicitous, aashram based, Indian Godman's good deeds serve activities criminal and unholy, such as rapes, murders, drugs, vote bank politics and forced male emasculation. The law and a few crusaders investigate to bring him to account.
624;Inhumans;5;2017;null;43;An isolated community of superhumans fight to protect themselves.
625;Manifest;7.2;2018;null;43;After being presumed dead, passengers onboard Flight 828 return and discover the world has aged five years. As they reintegrate into society, they begin to experience guiding voices and visions, and soon a deeper mystery unfolds.
